design,flow_rate_Lmin,TIM_thickness_mm,TIM_conductivity_W_mK,Tmax_C,thermal_margin_to_85C_C,system_Rth_K_W,Tout_mass_weighted_C,pressure_drop_Pa,pressure_drop_kPa,pumping_power_W,pumping_power_mW,Qin_m3_s,Qout_m3_s,mass_balance_error_percent,pump_identity_error_percent,thermal_limit_status,comsol_version,comsol_date
Minimum temperature,0.2999998568795693,0.05,6.0,60.618149210646436,24.381850789353564,0.3561814921064644,29.760715466383658,10941.154786217381,10.941154786217382,0.0547057739310869,54.7057739310869,4.9999976146594884e-06,5.0064952294947975e-06,0.12995235870230604,4.770681022054577e-05,PASS,COMSOL 6.3.0.290,"Aug 7 2026, 12:45"
Balanced knee point,0.18799985270041958,0.05,6.0,64.72510987938148,20.274890120618522,0.39725109879381476,32.62110289309459,6366.742549525021,6.3667425495250205,0.0199491266551784,19.9491266551784,3.1333308783403265e-06,3.1401929344710643e-06,0.2190019629964022,7.835084064882832e-05,PASS,COMSOL 6.3.0.290,"Aug 7 2026, 12:41"
Minimum pumping power,0.09999984604033225,0.05,6.0,71.78951480258621,13.210485197413789,0.46789514802586213,39.353109506398994,2967.9618382146527,2.9679618382146526,0.004946603063691088,4.946603063691088,1.6666641006722041e-06,1.6740819222100445e-06,0.44506997749868166,0.00015395966775324786,PASS,COMSOL 6.3.0.290,"Aug 7 2026, 12:39"
