% Model,ten_channel_cooling_coldplate_parametric study.mph
% Version,COMSOL 6.3.0.290
% Date,"Jul 29 2026, 19:39"
% Table,flow sweep -
% Vdot_total (l/min),Temperature (degC),x (mm),y (mm),z (mm),Temperature (degC),Velocity magnitude (m/s),system thermal resistance (K/W),Temperature (degC),Outlet Integration (m^2),Outlet Integration (m^3/s),flow-weighted outlet temperature (degC),mass weitghted (degC),area average inlet pressure (N/m^2),area average outlet pressure (N/m^2),pumping power (W),pressure drop (N/m^2)
0.1,91.62094560442682,16.775401957344798,15.287644984257813,4.600000000000001,24.999999999999993,0.5630811469798847,0.6662094560442683,91.62094560442682,2.4999999999999994E-6,1.4620129629489271E-6,36.8241405086041,36.819253384103774,1778.025120183228,13.808944876290546,0.002940360292178229,1764.2161753069374
0.15,88.36524995500326,16.775401957344798,15.287644984257813,4.600000000000001,24.999999999999993,0.8477247061824209,0.6336524995500327,88.36524995500326,2.4999999999999994E-6,2.1905037451965984E-6,33.445812839023404,33.44185521261511,2960.8336698161024,26.611963933912588,0.007335554264705474,2934.22170588219
0.2,86.12901780644671,16.775401957344798,15.287644984257813,4.600000000000001,24.999999999999993,1.1330959056640648,0.6112901780644672,86.12901780644671,2.4999999999999994E-6,2.9189382709338346E-6,31.628393673445316,31.62533770947806,4289.922538954546,43.903234986626856,0.014153397679893065,4246.01930396792
0.25,84.41772343405489,16.775401957344798,15.287644984257813,4.600000000000001,24.999999999999993,1.419008491491423,0.5941772343405489,84.41772343405489,2.4999999999999994E-6,3.647353342597564E-6,30.48457101558921,30.482169546715625,5743.7205232286715,64.03872047551829,0.023665340844804806,5679.6818027531535
0.3,83.00767796369746,16.775401957344798,15.287644984257813,4.600000000000001,24.999999999999993,1.7053265790564962,0.5800767796369746,83.00767796369746,2.4999999999999994E-6,4.375699774378312E-6,29.693787010778635,29.691853158288154,7308.722226374936,87.32048429313659,0.036107008710409,7221.4017420818
