% Model,ten_channel_cooling_coldplate.mph
% Version,COMSOL 6.3.0.290
% Date,"Jul 27 2026, 14:19"
% Dimension,1
% Nodes,498
% Expressions,1
% Description,Line graph
% Arc length (mm),Pressure
0,4268.917340453877
0.0016732731573416968,4268.6268132623045
0.006800842683717925,4267.736523253435
0.13639109085495132,4245.236018365025
0.3118858795744218,4214.76748772461
0.6168276053149737,4161.825024976504
0.6208094172230941,4161.170453332762
0.6220271781338587,4160.963109337708
0.6237627450759808,4160.667600276543
0.6255233971671811,4159.8743046513
0.6267588950535541,4159.317627342277
0.6308985960074222,4157.443319434104
0.9357878061309333,4020.714799099803
0.9378724890089295,4019.779916539809
1.2353243203116318,3886.3867120106265
1.2355256830434596,3886.2964102634373
1.2478044342872319,3880.7899658456968
1.2569951662279235,3878.669547701164
1.5111781072484316,3820.0270593874357
1.5281839469952396,3816.1036459804877
1.5287069952945977,3815.9812246377096
1.5611553334787294,3808.2989669359913
1.5947127548995672,3800.3541298938862
1.87199003239532,3734.7077633999934
1.8720416630430854,3734.6955396633207
1.8745471459138077,3734.10235781928
1.9334593289569821,3723.922278769315
1.9350171780027046,3723.653081031018
1.9355967683743869,3723.5529272852978
2.1877928147858836,3679.973220067928
2.1977987886734276,3678.244178639054
2.1980498610860675,3678.200856793752
2.2271658013498175,3673.2326551232572
2.5010359405285514,3626.5007937909145
2.501771094267481,3626.3658539604485
2.5020644687054454,3626.3120041398934
2.7615316614862535,3578.6859673651093
2.8145157214591268,3568.9605729454875
2.8531593710382017,3561.8674069222993
2.8541802265823355,3561.6787435830197
2.8708973313396804,3558.595264004107
3.1279753458139847,3511.1770765054193
3.1329896135508766,3510.2210263740503
3.1335967024343625,3510.1052751941643
3.134077747826897,3510.0135562164674
3.284167294480891,3481.3965899264585
3.4331015420998665,3452.999899826745
3.436502978015305,3452.354180446401
3.4393253750521664,3451.8183842382605
3.4470282118998776,3450.3563038191496
3.4528040390656636,3449.279249219353
3.596550292442795,3422.473986707253
3.7460789337986222,3394.5904461595564
3.7467096440898904,3394.4728336685916
3.7471034080565,3394.399406040081
3.7527404919556147,3393.348223764589
3.753405832150322,3393.2452237667985
3.753702835480111,3393.1993051365716
3.7601565653006905,3392.201516884749
4.0661574511175065,3344.891806468635
4.066495695470799,3344.839511710202
4.066708875680088,3344.806552674998
4.107721871206397,3338.4656790645586
4.174564091111937,3327.382061589575
4.175799321956392,3327.177238557178
4.177827632309488,3326.840908972283
4.36649799292578,3295.5560397849154
4.369626869379487,3295.0372169542493
4.557957850066397,3263.8086229372943
4.563149140126479,3262.853492219067
4.618499643867715,3252.702060196041
4.633443588345114,3249.961300378797
4.795160838159556,3219.9613893158353
4.797043185512921,3219.6121980375065
5.001370611464317,3181.707740638563
5.001582908378573,3181.668357774002
5.003219555401527,3181.3647459750973
5.005421249583882,3181.0528944239695
5.005681038501624,3181.016097498396
5.0060843200662495,3180.9589760405306
5.314008949013453,3137.344029906218
5.314629809766187,3137.2560901776556
5.618708124297994,3094.1859422837974
5.623369769440849,3093.5256592707165
5.624414594993423,3093.3801742438363
5.626048813510659,3093.149144145782
5.627041141413059,3092.982415133136
5.628678440286436,3092.7090099759334
5.633269095569293,3091.947496297689
5.936408853443829,3041.6616312485266
5.936753641299005,3041.6044366539354
5.972038799173436,3035.751213376485
6.100090787239818,3014.5095094299904
6.242547817529346,2990.877910184952
6.243156603287442,2990.7769212689805
6.243566807358677,2990.7088742361284
6.246777683643695,2990.176235436634
6.275451363604587,2985.5439557893515
6.37942317254721,2968.747140901518
6.390700931444234,2966.925187382144
6.39288877904669,2966.571734477578
6.517784774557954,2946.394436784369
6.559245291195868,2939.696374262084
6.559681059842942,2939.6259746173127
6.55997131697101,2939.5790827657634
6.561790920452892,2939.285120729693
6.564437406940522,2938.864640674201
6.565192038233881,2938.7447430629377
6.5666916585501,2938.5064798272365
6.793039559935307,2902.543787941257
6.811783594570921,2899.5656912229956
6.942852003461272,2878.741231282952
6.986068905727036,2871.8748272609196
7.011927940709818,2867.987667894306
7.02953661365688,2865.340712274138
7.082566494344227,2857.3813085888573
7.251554783025501,2832.078332677137
7.426088031510896,2805.9450981395066
7.491785592729653,2796.1080625558616
7.4927465324763975,2795.9641790036094
7.496637391738726,2795.381592370187
7.775733599507376,2755.6738435244497
7.793835358174961,2753.0984588834854
7.794092880926203,2753.061719758091
7.8095129024483105,2750.87961724013
7.824006305627078,2748.82864140168
8.118867170890894,2707.1025883207476
8.118945986883626,2707.0914349915547
8.122389743405718,2706.604105595333
8.128992592894846,2705.7550401986355
8.129102631719997,2705.740890223101
8.14887354421141,2703.1985336715516
8.43570058924801,2666.3156148893095
8.74615226236091,2626.394819262198
8.746582923916733,2626.339709757769
8.747309930678405,2626.246678508961
8.74900341985626,2626.0284445922275
8.749761748879532,2625.929058178338
8.750210893107434,2625.8701934471187
8.751954564218801,2625.6423908763377
8.75401992489514,2625.376221230633
9.063369350882436,2585.5093698581823
9.316131166118288,2552.9351451332523
9.37725996680179,2545.0573003289273
9.37752380437841,2545.0232988196726
9.377727532647981,2544.997043770138
9.377829971406749,2544.9839393695443
9.377887461816373,2544.9765961928097
9.377929879421282,2544.9711782462073
9.514846519764754,2527.4829903112445
9.533340283006131,2525.120805507566
9.622711210569738,2513.7055708565154
9.65064214104652,2510.137988712
9.653230991877775,2509.81266566701
9.689183638463833,2505.390217614368
9.701190550210994,2503.913276456577
9.95311286281372,2472.9249224248324
9.966729719415246,2471.2501792228545
9.967015832751258,2471.214990017408
10.001375407332585,2466.9890907781914
10.001844626100937,2466.9319652696913
10.122847300871651,2454.101058314693
10.309137433769957,2434.3493655213288
10.313196106757223,2433.9190385858865
10.313860682662742,2433.8469855397657
10.31555059783458,2433.653218420206
10.317008913939626,2433.4860066478104
10.357442206276735,2428.8498907521484
10.562816452352902,2405.3015039709076
10.73035504589785,2386.0913854825435
10.756567777892583,2382.439759446116
10.780811206447083,2379.0624718387176
10.831219926810816,2372.0318251429526
10.886807017270378,2364.2133160609437
10.998890578488753,2348.4483905344423
11.020767465528722,2345.371333638786
11.22201574567051,2317.065093952216
11.24366859500486,2314.019548704707
11.244190105485554,2313.946196521746
11.246911660501128,2313.563400760526
11.247324819749684,2313.5053015054955
11.248704643213754,2313.3153853355743
11.249646233836271,2313.185786666383
11.404573982399695,2291.8618380687103
11.431198502501251,2288.1972918312044
11.559819301946774,2270.4941796295507
11.561500232029603,2270.262819740732
11.564024759409616,2269.919913701803
11.565047549238045,2269.7809883680948
11.770472437100594,2241.878167764138
11.770479007625232,2241.8772752911173
11.773479542414623,2241.4697132628958
11.936199757646472,2219.3678701093686
11.936537293573371,2219.3245777501706
12.001730223723374,2210.9629322946485
12.002574038025283,2210.8552833609037
12.223151072542379,2182.6315318827783
12.496878168386912,2147.6070083966474
12.497052920598428,2147.5846481223834
12.497234520736127,2147.561411627406
12.502725980514999,2146.858756446687
12.505392639083867,2146.528903615915
12.505555981382196,2146.508698959752
12.596255432617953,2135.2896133637046
12.597255731702829,2135.165881181184
12.599500012607594,2134.888274434626
12.722187642291555,2119.7124051184755
12.808750767735246,2109.0049725195913
12.814990207727138,2108.2343947432314
12.815069280601664,2108.22462915531
13.101113845487474,2072.8978073514522
13.106143554504587,2072.2766326955248
13.127548972270144,2069.63303980173
13.12801166351917,2069.5763829758675
13.433646940837537,2034.759053111739
13.434533693804783,2034.6580360732626
13.437712030309907,2034.2835843588462
13.444170302231798,2033.5226203940758
13.444904305440469,2033.4361344116674
13.596208481821014,2015.6082963556946
13.67952321088662,2005.7915052201802
13.872274573901873,1983.0800363955443
13.888534752985453,1981.1641352856236
13.90386392357835,1979.3905931983568
13.93352175513256,1975.6572635962948
13.947177809170245,1973.9574498169363
13.981641885397947,1969.6101956306006
14.146857115527565,1948.7701592958933
14.301528418404331,1929.2601203644977
14.371497000527556,1920.434373533579
14.372392049820885,1920.3214731685239
14.378176251817349,1919.591861378624
14.382954100075365,1919.0007160695081
14.38688760671167,1918.5142028367788
14.71677842888859,1877.7118691470923
14.746227597527179,1874.0694677072877
15.054422786183153,1835.9505444643937
15.055278483647474,1835.8457422277586
15.055747902100837,1835.7869282521629
15.105675315922255,1829.5314653980893
15.10650464662482,1829.4278016252117
15.222599763215687,1815.0324066721728
15.343975149071486,1799.9822765006406
15.366713257675412,1797.1628292796854
15.60807482693379,1767.2348252603251
15.622968245908881,1765.3880925583537
15.62486325994843,1765.152851594346
15.625231133336424,1765.1071849720315
15.625578002387947,1765.0641257606685
15.628028366522335,1764.75994541735
15.629099125591718,1764.6310441683174
15.629437626751011,1764.590294364296
15.629931649381266,1764.530822410324
15.784369371901523,1745.939137408741
15.78458192337209,1745.913549813153
15.940489981739965,1727.14486128886
15.940872820611723,1727.1001877744857
15.940978746110908,1727.0877576072755
15.941884822000569,1726.9814312278836
16.097678738960518,1709.1414627925951
16.09811975186914,1709.0909623846017
16.15263677510497,1702.8482156028826
16.25313291457457,1691.3403981540996
16.25422209860771,1691.2156756414968
16.382097068963233,1675.4499089244432
16.45812386470389,1666.0765286408757
16.56020922225719,1653.4903757140153
16.562609873490842,1653.1946401721034
16.563970464409245,1653.02702936428
16.87086349730345,1615.2209640268004
16.87122807941452,1615.1760031293234
16.871459090700597,1615.1475144173605
16.872367784004382,1615.035452785074
16.872694722747674,1614.9947367279347
16.872913844845534,1614.9674478610145
17.02816929934196,1595.6323580740395
17.028314459669357,1595.614280203779
17.02844750286046,1595.59771136854
17.12173217222101,1583.9802937152617
17.173675666090297,1577.511288959223
17.173799624621772,1577.495851254326
17.1741078155468,1577.4579835209663
17.195325122841567,1574.8312129515848
17.33874525874769,1557.3184647102673
17.340208450472115,1557.139797271858
17.343364348286592,1556.7544368512233
17.490374483556945,1538.8033209103148
17.491214778790773,1538.700714126508
17.495842025801746,1538.135690174735
17.500596988876108,1537.553258149283
17.501404089161035,1537.4543970127518
17.567383475476607,1529.3726291822045
17.651634930845773,1519.052786107683
17.65189718484701,1519.0206629814227
17.65212943404753,1518.9922151012877
17.791411390757634,1501.931762791444
17.792832868346014,1501.7619525990465
17.823858690301776,1498.055597438286
17.826669091137884,1497.7182773050588
17.964542034850005,1481.383259983684
17.965349730453706,1481.2875651988948
18.10864166230762,1464.3105128068437
18.108884201452994,1464.2817770662832
18.12067219287982,1462.8851502955988
18.13426451887747,1461.312939038564
18.134558298122336,1461.2789578762563
18.1347985465305,1461.2511685742732
18.307989814901234,1441.2183013667195
18.4809012525933,1421.217801904255
18.48517354916528,1420.727327080391
18.497344175831742,1419.3300959027383
18.50670083344033,1418.2567799397373
18.63373714002907,1403.5311695234022
18.6593310923614,1400.564406861762
18.739691765376282,1391.2750707243113
18.749131508231727,1390.1838784638992
18.751808718338413,1389.874404891086
18.854297131713786,1378.027200452399
18.97693353726105,1363.8565699521866
18.97907277414427,1363.60330266347
19.0182906191034,1358.9602463754957
19.021514322787553,1358.5757330341714
19.071584712293333,1352.47742861592
19.18386801935171,1338.8019251039898
19.343387523637443,1319.3733065654676
19.345439428253144,1319.1233956079684
19.346115169628046,1319.0410939392013
19.35998850270046,1317.351396511111
19.37214938102453,1315.873292123477
19.39501189216648,1313.5819784582943
19.3959115556347,1313.4918128948525
19.669051777842434,1286.1173079784921
19.685436401985633,1284.4752174414948
19.69002944634924,1284.0148959461967
19.690717594760315,1283.946264726628
19.70082980152713,1282.951594822998
19.998879132368508,1253.6344827404093
20.031122451145386,1250.2430012018601
20.031252151925806,1250.229358753781
20.31244326078363,1220.6525505754826
20.312482946044483,1220.6483763206409
20.31732813469025,1220.1387399535963
20.322009349633774,1219.6438183364492
20.501896408179043,1200.6252526450226
20.621861816293787,1187.9419055861517
20.625000000000004,1187.6101210016955
20.79185517619355,1167.2463774351754
20.937500000000004,1149.471239070003
20.94036623747346,1149.1214307737198
21.250000000000004,1111.0165064526511
21.25042150910482,1110.9608047439565
21.562500000000004,1069.720164883178
21.56256605885231,1069.7114353186073
21.875000000000007,1029.0146762981858
21.877188863806104,1028.7571088023296
22.032970250984217,1010.426035994298
22.18535880839919,992.4942034969354
22.187500000000007,992.2434363175919
22.32266949665305,976.412964445732
22.500000000000007,955.6447762467166
22.502859514336134,955.3300363959123
22.50286131358465,955.3298383569652
22.80764773860144,921.7827311699275
22.812934172836997,921.200866095301
22.82601212288257,919.7614076550458
22.826251954936716,919.7353996850111
22.97672524268202,903.2136230596008
22.9778020346852,903.0953926599392
22.980055389599457,902.847977141152
23.114386602702464,888.0985798895625
23.114657128361483,888.0688765144536
23.12632932041945,886.7872845933869
23.138209281234182,885.2346672458241
23.139242918909417,885.0995789394999
23.278331894345627,866.9217448973803
23.281667854007026,866.485761233643
23.283248118422968,866.2792331158998
23.4232872642308,847.9772192868996
23.429110008895066,847.2162324017443
23.449536181029604,844.5186913088518
23.45245091628052,844.1341625237833
23.45965805812897,843.1756489198945
23.596858498428414,824.9286806692495
23.59746684252784,824.8477739648432
23.60203181661329,824.2406553796516
23.694298847769947,811.9696044674079
23.72355429683271,808.0791487306775
23.723916098549893,808.0310355206166
23.724253551492367,807.9861602656481
23.753587959012947,804.0852044547436
23.754337890956425,803.9805533217096
23.754967531389994,803.8927115443747
23.782161576275485,800.0988426815862
23.80200928589224,797.3298685245695
24.00073110584988,769.605985289524
24.005820739889913,768.8959252676044
24.058675635930836,761.5220849588172
24.06874414000384,760.1447067653828
24.07207845031704,759.6885708506296
24.29362682480388,729.3806027953508
24.29517441815623,729.1688909739736
24.512896024629548,699.3844273812188
24.524234030940857,697.8333804196263
24.53070588419549,696.9415917385382
24.53402300429667,696.5047092799175
24.6925428252767,675.6666203352013
24.763452296208147,666.3452758297823
24.998489829354348,635.4486157732199
24.999119396922804,635.3658565011796
24.999209411820573,635.3540236689546
24.99992926597127,635.259395850637
25.000402457111484,635.1964097437241
25.000450360430392,635.1900333699722
25.00092290285356,635.1271336132842
25.001121849984244,635.1003418720719
25.001462303168857,635.0544938440778
25.153581360564804,614.5689788974478
25.154922649195957,614.3883507186282
25.155854493920927,614.2628613856801
25.295177555581038,595.5005530273031
25.298035621007536,595.115664092181
25.31554778106507,592.776554070402
25.324012310933316,591.6564014657109
25.326991910698005,591.2653956722697
25.466461564354603,572.9631245970888
25.468835659512262,572.6515777337064
25.616584922115237,553.2627932603773
25.61736109887681,553.1609374292332
25.62211297919747,552.5373594718399
25.77675031068995,533.2810568371701
25.78421989001462,532.350903176076
25.933547110297326,513.7558451936015
25.93384099317298,513.7192492595011
25.93454866284488,513.6311262866332
25.938846819037877,513.0958959148688
26.03914019192693,500.48075995087333
26.055960084071682,498.3651144182376
26.061935708849145,497.61348630098485
26.23841500426285,475.41550609209565
26.246022468079154,474.4586214284406
26.246955744990316,474.34127030438185
26.255476530703945,473.310033398366
26.255817088098606,473.26881708735954
26.298384578610776,468.1170425107025
26.397336521994635,456.1383684779991
26.40370494315168,455.3674362604545
26.53351316264608,439.65344121482815
26.534863175529196,439.4900147704984
26.538875869773193,439.0117643772506
26.584672532874613,433.48719051720315
26.714404676014436,417.71161270056325
26.71681087347737,417.4190163215936
26.718943013259988,417.15974567175624
26.848272876745998,401.4330855237004
26.848290640037145,401.4309254870666
26.849411945459025,401.2945734581018
26.87320209335036,398.4020207744783
27.14482524120947,366.7794092412553
27.144998942625033,366.7591867659971
27.186329809174712,361.9499117832017
27.186386019105086,361.94337117482587
27.1879920977806,361.75648726361425
27.49630191604661,325.881442298012
27.500000000000004,325.4511318756556
27.65902113063171,308.9820658677154
27.812500000000004,293.0869856327216
27.815742030086163,292.75122391805775
27.98621046744612,275.3082089741918
28.12240971372193,261.37175525334476
28.125000000000004,261.106706761336
28.265584493531946,244.4852325015351
28.437500000000004,224.1594547871517
28.440789569275932,223.77052504339417
28.65156159295686,198.42626643144268
28.74848725801342,186.77145058620695
28.750000000000004,186.58955109380034
28.850361278187115,174.22572678434665
28.86942400373996,171.8773291368466
28.878888786227137,170.71133255019055
29.062500000000007,148.09168452118732
29.064715045229864,147.81880607091063
29.065789626474672,147.6873762970107
29.361148349385047,111.49308148944499
29.374897455422538,109.80821776726468
29.375000000000004,109.79565159474298
29.375103177226666,109.784295397608
29.375824899448812,109.70485907142893
29.37597762572161,109.68804926060518
29.376079775485017,109.67680615117044
29.531507293460795,92.53482323752552
29.62364229029061,82.37332441173987
29.68740817596647,75.34063330938703
29.687447533920697,75.33629255050712
29.68745798835935,75.3351395384086
29.687473719350688,75.33340457932084
29.6875,75.33065689322659
29.999913745233993,42.66727429479602
30,42.65825621391451
